Omega,D_KL_PQ_2,Eta,LossReg,NormDeltaVar,RewardStd,Epsilon,D_KL_P_HAT_Q,TimestepsStd,D_KL_PQ,ReturnsStd,TimestepsMean,ReturnsMean,ITERATIONS,OmegaBefore,DeltaOmega,RewardMean,DualReg,DualAfter,DualBefore
[4.95093888],0.5613922850205029,12.992283172944326,1e-07,0.12425309138004512,0.47732947839468404,1.0,0.036625147645988475,25.459828436185504,0.5613922850210997,245.95362644426177,181.444,1720.1708963857031,85,[4.97722829],[-0.02628941],9.480450697657146,0.0001,9.560213867658522,10.50737021366053
[4.92556113],0.508971962586088,13.493092694789912,1e-07,0.3341917619375118,0.44879366638126744,1.0,0.03413810003519214,24.07196344297656,0.5089719625864859,232.86891108025432,184.024,1746.0762366990937,86,[4.95093888],[-0.02537775],9.488307159387327,0.0001,9.56916780996603,10.511668535330095
[4.89764098],0.4687135862719458,13.853270005711686,1e-07,0.8345881438038112,0.41264959182561456,1.0,0.03315197205856509,22.409950914716436,0.46871358627262794,217.02436699382847,187.21,1777.8812634557828,87,[4.92556113],[-0.02792015],9.496721667943929,0.0001,9.577635097850791,10.517491828040216
[4.87064168],0.44264454229048056,14.067652173266822,1e-07,0.4382873333530171,0.4212071757227917,1.0,0.039373547316259576,23.389393835668336,0.4426445422905658,226.56145996002482,185.984,1767.106223256458,88,[4.89764098],[-0.0269993],9.501388416511412,0.0001,9.584764478922828,10.524162613301673
[4.84257217],0.39702873378496406,14.445395024036932,1e-07,0.5744408195140875,0.3849396417513745,1.0,0.038251181621065784,21.40364492323679,0.3970287337847651,207.6531092758127,188.772,1795.1972906261092,89,[4.87064168],[-0.02806951],9.509870587937348,0.0001,9.593401375832643,10.52860063283354
[4.81353222],0.391904422154397,14.493426997473943,1e-07,0.7665716486418518,0.37880581963363086,1.0,0.03964211816601027,21.490704967496995,0.39190442215272014,208.62658903590386,188.84,1796.9529556038347,90,[4.84257217],[-0.02903995],9.51574325145009,0.0001,9.599376606837028,10.533431893895424
[4.78639521],0.40897833272236994,14.349843862767301,1e-07,0.20850689227082952,0.3945877915623961,1.0,0.043577123168091265,21.341057518314315,0.4089783327223415,207.40018248902172,188.208,1791.7641539114536,91,[4.81353222],[-0.02713701],9.520127486140087,0.0001,9.603390578881408,10.539736718986331
[4.76148626],0.4746676779080019,13.797724958009775,1e-07,1.3330251299670106,0.4518142370759719,1.0,0.0376085979944019,24.807010218887726,0.4746676779086556,240.62513495052107,183.662,1748.4984306999543,92,[4.78639521],[-0.02490895],9.52019705056002,0.0001,9.603460463524758,10.545103098060547
[4.73718947],0.5827644456717707,12.787879477793123,1e-07,0.11918298165157248,0.48318520390272435,1.0,0.03270813860355544,24.52447724213505,0.5827644456718701,237.96771730921444,182.496,1737.7203691374223,93,[4.76148626],[-0.02429679],9.521964147912405,0.0001,9.599894364183047,10.550150956579497
[4.71213606],0.4908267659078831,13.654923253013882,1e-07,0.06515226750760462,0.4720909541273351,1.0,0.03002117600417343,24.61939812424341,0.4908267659082526,239.13881813454532,182.394,1737.7779504405166,94,[4.73718947],[-0.02505341],9.527604803011704,0.0001,9.611646234854632,10.554408655985117
[4.68852109],0.512208840333443,13.459880258534948,1e-07,0.5976618494322274,0.4515140085106521,1.0,0.03137885394087204,24.067049341371288,0.5122088403337557,233.8505926372687,184.444,1758.5560896081506,95,[4.71213606],[-0.02361497],9.53436321923267,0.0001,9.61452497036523,10.558628578205635
[4.66460528],0.6239337774991753,12.341245552333815,1e-07,0.465443282152803,0.5226416469173257,1.0,0.03331942908574573,26.08334909477692,0.623933777499829,253.24448568128437,178.37,1700.140481691641,96,[4.68852109],[-0.0239158],9.531538272644735,0.0001,9.610302463593639,10.564076737781535
[4.64240317],0.6473845453226517,12.076684709156234,1e-07,0.21618177674534772,0.5227164816922173,1.0,0.028615465981448675,27.11780345086969,0.6473845453213016,263.33587598527197,177.144,1689.244668304879,97,[4.66460528],[-0.02220212],9.53599708883665,0.0001,9.612529841397707,10.567956923447792
